index	name	abbreviation	color
443	left Cortical amygdalar area, posterior part, medial zone, layer 3	COApm3-L	61E7B5
444	left Piriform-amygdalar area	PAA-L	59D9AA
445	left Piriform-amygdalar area, layers 1-3	PAA1-3-L	59DAAB
446	left Piriform-amygdalar area, molecular layer	PAA1-L	59DAAA
447	left Piriform-amygdalar area, pyramidal layer	PAA2-L	59D9AB
448	left Piriform-amygdalar area, polymorph layer	PAA3-L	58DAAB
449	left Postpiriform transition area	TR-L	A8ECD2
450	left Postpiriform transition area, layers 1-3	TR1-3-L	A8ECD3
451	left Postpiriform transition area, layers 1	TR1-L	A8EBD3
452	left Postpiriform transition area, layers 2	TR2-L	A7ECD3
453	left Postpiriform transition area, layers 3	TR3-L	A8EBD2
454	left Hippocampal formation	HPF-L	7DCD4B
455	left Hippocampal region	HIP-L	7DD048
456	left Ammon's horn	CA-L	7ED04A
457	left Field CA1	CA1-L	7ECF4B
458	left Field CA1, stratum lacunosum-moleculare	CA1slm-L	7DD04B
459	left Field CA1, stratum oriens	CA1so-L	7ECF4A
460	left Field CA1, pyramidal layer	CA1sp-L	66A83D
461	left Field CA1, stratum radiatum	CA1sr-L	7DD04A
462	left Field CA2	CA2-L	7DCF4B
463	left Field CA2, stratum lacunosum-moleculare	CA2slm-L	7DCF4A
464	left Field CA2, stratum oriens	CA2so-L	7ED049
465	left Field CA2, pyramidal layer	CA2sp-L	66A83C
466	left Field CA2, stratum radiatum	CA2sr-L	7ECE4B
467	left Field CA3	CA3-L	7ECF49
468	left Field CA3, stratum lacunosum-moleculare	CA3slm-L	7DD049
469	left Field CA3, stratum lucidum	CA3slu-L	7DCE4B
470	left Field CA3, stratum oriens	CA3so-L	7CD04A
471	left Field CA3, pyramidal layer	CA3sp-L	66A73D
472	left Field CA3, stratum radiatum	CA3sr-L	7CCF4B
473	left Dentate gyrus	DG-L	7DCF49
474	left Dentate gyrus, molecular layer	DG-mo-L	7BD04A
475	left Dentate gyrus, polymorph layer	DG-po-L	7ECE4A
476	left Dentate gyrus, granule cell layer	DG-sg-L	65A83D
477	left Dentate gyrus, subgranular zone	DG-sgz-L	7CD04B
478	left Dentate gyrus crest	DGcr-L	7DCE4A
479	left Dentate gyrus crest, molecular layer	DGcr-mo-L	7CCF4A
480	left Dentate gyrus crest, polymorph layer	DGcr-po-L	7ECE49
481	left Dentate gyrus crest, granule cell layer	DGcr-sg-L	7CD049
482	left Dentate gyrus lateral blade	DGlb-L	7CCE4B
483	left Dentate gyrus lateral blade, molecular layer	DGlb-mo-L	7ED048
484	left Dentate gyrus lateral blade, polymorph layer	DGlb-po-L	7ECD4B
485	left Dentate gyrus lateral blade, granule cell layer	DGlb-sg-L	7DCE49
486	left Dentate gyrus medial blade	DGmb-L	7CCF49
487	left Dentate gyrus medial blade, molecular layer	DGmb-mo-L	7CCE4A
488	left Dentate gyrus medial blade, polymorph layer	DGmb-po-L	7BD04B
489	left Dentate gyrus medial blade, granule cell layer	DGmb-sg-L	7ECF48
490	left Fasciola cinerea	FC-L	7ECD4A
491	left Induseum griseum	IG-L	7ED04B
492	left Retrohippocampal region	RHP-L	30B625
493	left Entorhinal area	ENT-L	32B822
494	left Entorhinal area, lateral part	ENTl-L	32B525
495	left Entorhinal area, lateral part, layer 1	ENTl1-L	32B722
496	left Entorhinal area, lateral part, layer 2	ENTl2-L	32B825
497	left Entorhinal area, lateral part, layer 2/3	ENTl2/3-L	2FB825
498	left Entorhinal area, lateral part, layer 2a	ENTl2a-L	30B624
499	left Entorhinal area, lateral part, layer 2b	ENTl2b-L	30B823
500	left Entorhinal area, lateral part, layer 3	ENTl3-L	32B725
501	left Entorhinal area, lateral part, layer 4	ENTl4-L	32B724
502	left Entorhinal area, lateral part, layer 4/5	ENTl4/5-L	31B724
503	left Entorhinal area, lateral part, layer 5	ENTl5-L	31B824
504	left Entorhinal area, lateral part, layer 5/6	ENTl5/6-L	30B825
505	left Entorhinal area, lateral part, layer 6a	ENTl6a-L	32B824
506	left Entorhinal area, lateral part, layer 6b	ENTl6b-L	31B825
507	left Entorhinal area, medial part, dorsal zone	ENTm-L	31B623
508	left Entorhinal area, medial part, dorsal zone, layer 1	ENTm1-L	31B625
509	left Entorhinal area, medial part, dorsal zone, layer 2	ENTm2-L	30B824
510	left Entorhinal area, medial part, dorsal zone, layer 2a	ENTm2a-L	32B624
511	left Entorhinal area, medial part, dorsal zone, layer 2b	ENTm2b-L	31B823
512	left Entorhinal area, medial part, dorsal zone, layer 3	ENTm3-L	31B723
513	left Entorhinal area, medial part, dorsal zone, layer 4	ENTm4-L	31B624
514	left Entorhinal area, medial part, dorsal zone, layer 5	ENTm5-L	30B724
515	left Entorhinal area, medial part, dorsal zone, layer 5/6	ENTm5/6-L	30B725
516	left Entorhinal area, medial part, dorsal zone, layer 6	ENTm6-L	32B623
517	left Entorhinal area, medial part, ventral zone	ENTmv-L	30B723
518	left Entorhinal area, medial part, ventral zone, layer 1	ENTmv1-L	31B725
519	left Entorhinal area, medial part, ventral zone, layer 2	ENTmv2-L	32B823
520	left Entorhinal area, medial part, ventral zone, layer 3	ENTmv3-L	32B625
521	left Entorhinal area, medial part, ventral zone, layer 4	ENTmv4-L	32B723
522	left Entorhinal area, medial part, ventral zone, layer 5/6	ENTmv5/6-L	32B524
523	left Parasubiculum	PAR-L	72D568
524	left Parasubiculum, layer 1	PAR1-L	72D469
525	left Parasubiculum, layer 2	PAR2-L	71D569
526	left Parasubiculum, layer 3	PAR3-L	72D569
527	left Postsubiculum	POST-L	47C83C
528	left Postsubiculum, layer 1	POST1-L	48C73C
529	left Postsubiculum, layer 2	POST2-L	48C83B
530	left Postsubiculum, layer 3	POST3-L	48C83C
531	left Presubiculum	PRE-L	59B847
532	left Presubiculum, layer 1	PRE1-L	59B947
533	left Presubiculum, layer 2	PRE2-L	59B946
534	left Presubiculum, layer 3	PRE3-L	58B947
535	left Subiculum	SUB-L	4FC244
536	left Subiculum, dorsal part	SUBd-L	4FC243
537	left Subiculum, dorsal part, molecular layer	SUBd-m-L	4EC244
538	left Subiculum, dorsal part, pyramidal layer	SUBd-sp-L	4BB547
539	left Subiculum, dorsal part, stratum radiatum	SUBd-sr-L	4FC143
540	left Subiculum, ventral part	SUBv-L	4FC144
541	left Subiculum, ventral part, molecular layer	SUBv-m-L	4EC243
542	left Subiculum, ventral part, pyramidal layer	SUBv-sp-L	4BB546
543	left Subiculum, ventral part, stratum radiatum	SUBv-sr-L	4EC144
544	left Prosubiculum	ProS-L	57B947
545	left Prosubiculum, dorsal part	ProSd-L	57BA47
546	left Prosubiculum, dorsal part, molecular layer	ProSd-m-L	58BA48
547	left Prosubiculum, dorsal part, pyramidal layer	ProSd-sp-L	56B84B
548	left Prosubiculum, dorsal part, stratum radiatum	ProSd-sr-L	57B948
549	left Prosubiculum, ventral part	ProSv-L	58BA47
550	left Prosubiculum, ventral part, molecular layer	ProSv-m-L	58B948
551	left Prosubiculum, ventral part, pyramidal layer	ProSv-sp-L	56B84A
552	left Prosubiculum, ventral part, stratum radiatum	Prosv-sr-L	57BA48
553	left Hippocampo-amygdalar transition area	HATA-L	33B931
554	left Area prostriata	APr-L	33B932
555	left Cortical subplate	CTXsp-L	8AD987
556	left Layer 6b, isocortex	6b-L	8ADA87
557	left Claustrum	CLA-L	8ADA86
558	left Endopiriform nucleus	EP-L	A0EE9D
559	left Endopiriform nucleus, dorsal part	EPd-L	A0EE9C
560	left Endopiriform nucleus, ventral part	EPv-L	A0ED9D
561	left Lateral amygdalar nucleus	LA-L	90EB8D
562	left Basolateral amygdalar nucleus	BLA-L	9DE79C
563	left Basolateral amygdalar nucleus, anterior part	BLAa-L	9DE79B
564	left Basolateral amygdalar nucleus, posterior part	BLAp-L	9DE69C
565	left Basolateral amygdalar nucleus, ventral part	BLAv-L	9CE79C
566	left Basomedial amygdalar nucleus	BMA-L	84EA81
567	left Basomedial amygdalar nucleus, anterior part	BMAa-L	84EA80
568	left Basomedial amygdalar nucleus, posterior part	BMAp-L	84E981
569	left Posterior amygdalar nucleus	PA-L	97EC93
570	left Cerebral nuclei	CNU-L	98D6F8
571	left Striatum	STR-L	97D6F9
572	left Striatum dorsal region	STRd-L	98D6F9
573	left Caudoputamen	CP-L	98D5F9
574	left Striatum ventral region	STRv-L	7FCDF7
575	left Nucleus accumbens	ACB-L	80CDF8
576	left Fundus of striatum	FS-L	7ECDF8
577	left Olfactory tubercle	OT-L	7FCCF7
578	left Islands of Calleja	isl-L	80CCF7
579	left Major island of Calleja	islm-L	80CDF6
580	left Olfactory tubercle, layers 1-3	OT1-3-L	80CDF7
581	left Olfactory tubercle, molecular layer	OT1-L	7FCCF8
582	left Olfactory tubercle, pyramidal layer	OT2-L	80CCF8
583	left Olfactory tubercle, polymorph layer	OT3-L	7FCDF8
584	left Lateral strip of striatum	LSS-L	80CBF8
585	left Lateral septal complex	LSX-L	90CAEC
586	left Lateral septal nucleus	LS-L	90CBED
587	left Lateral septal nucleus, caudal (caudodorsal) part	LSc-L	90CBEC
588	left Lateral septal nucleus, rostral (rostroventral) part	LSr-L	90CAED
589	left Lateral septal nucleus, ventral part	LSv-L	8FCBED
590	left Septofimbrial nucleus	SF-L	8FCBEC
591	left Septohippocampal nucleus	SH-L	8FCAED
592	left Striatum-like amygdalar nuclei	sAMY-L	80C0E1
593	left Anterior amygdalar area	AAA-L	80C0E2
594	left Bed nucleus of the accessory olfactory tract	BA-L	80BFE2
595	left Central amygdalar nucleus	CEA-L	7EC0E2
596	left Central amygdalar nucleus, capsular part	CEAc-L	80BFE0
597	left Central amygdalar nucleus, lateral part	CEAl-L	80BEE1
598	left Central amygdalar nucleus, medial part	CEAm-L	7FC0E0
599	left Intercalated amygdalar nucleus	IA-L	80BEE2
600	left Medial amygdalar nucleus	MEA-L	80BFE1
601	left Medial amygdalar nucleus, anterodorsal part	MEAad-L	7FC0E2
602	left Medial amygdalar nucleus, anteroventral part	MEAav-L	7FC0E1
603	left Medial amygdalar nucleus, posterodorsal part	MEApd-L	7FBFE2
604	left Medial amygdalar nucleus, posterodorsal part, sublayer a	MEApd-a-L	7FBFE1
605	left Medial amygdalar nucleus, posterodorsal part, sublayer b	MEApd-b-L	80C0E0
606	left Medial amygdalar nucleus, posterodorsal part, sublayer c	MEApd-c-L	7EC0E1
607	left Medial amygdalar nucleus, posteroventral part	MEApv-L	7FBEE2
608	left Pallidum	PAL-L	8599CC
609	left Pallidum, dorsal region	PALd-L	8599CB
610	left Globus pallidus, external segment	GPe-L	8598CC
611	left Globus pallidus, internal segment	GPi-L	8499CC
612	left Pallidum, ventral region	PALv-L	A2B0D8
613	left Substantia innominata	SI-L	A2B1D7
614	left Magnocellular nucleus	MA-L	A2B1D8
615	left Pallidum, medial region	PALm-L	95A7D3
616	left Medial septal complex	MSC-L	96A6D2
617	left Medial septal nucleus	MS-L	96A7D3
618	left Diagonal band nucleus	NDB-L	96A6D3
619	left Triangular nucleus of septum	TRS-L	96A7D2
620	left Pallidum, caudal region	PALc-L	B1BFDF
621	left Bed nuclei of the stria terminalis	BST-L	B3C0DE
622	left Bed nuclei of the stria terminalis, anterior division	BSTa-L	B3BFDF
623	left Bed nuclei of the stria terminalis, anterior division, anterolateral area	BSTal-L	B2BFDD
624	left Bed nuclei of the stria terminalis, anterior division, anteromedial area	BSTam-L	B3BFDE
625	left Bed nuclei of the stria terminalis, anterior division, dorsomedial nucleus	BSTdm-L	B2C0DE
626	left Bed nuclei of the stria terminalis, anterior division, fusiform nucleus	BSTfu-L	B2BFDF
627	left Bed nuclei of the stria terminalis, anterior division, juxtacapsular nucleus	BSTju-L	B3BEDF
628	left Bed nuclei of the stria terminalis, anterior division, magnocellular nucleus	BSTmg-L	B2BFDE
629	left Bed nuclei of the stria terminalis, anterior division, oval nucleus	BSTov-L	B1C0DF
630	left Bed nuclei of the stria terminalis, anterior division, rhomboid nucleus	BSTrh-L	B3BFDD
631	left Bed nuclei of the stria terminalis, anterior division, ventral nucleus	BSTv-L	B3C0DD
632	left Bed nuclei of the stria terminalis, posterior division	BSTp-L	B2C0DF
633	left Bed nuclei of the stria terminalis, posterior division, dorsal nucleus	BSTd-L	B3BEDE
634	left Bed nuclei of the stria terminalis, posterior division, principal nucleus	BSTpr-L	B2C0DD
635	left Bed nuclei of the stria terminalis, posterior division, interfascicular nucleus	BSTif-L	B2BEDE
636	left Bed nuclei of the stria terminalis, posterior division, transverse nucleus	BSTtr-L	B2BEDF
637	left Bed nuclei of the stria terminalis, posterior division, strial extension	BSTse-L	B1C0DE
638	left Bed nucleus of the anterior commissure	BAC-L	B3C0DF
639	left Brain stem	BS-L	FF7080
640	left Interbrain	IB-L	FF707F
641	left Thalamus	TH-L	FF6F80
642	left Thalamus, sensory-motor cortex related	DORsm-L	FE7E84
643	left Ventral group of the dorsal thalamus	VENT-L	FF8082
644	left Ventral anterior-lateral complex of the thalamus	VAL-L	FD7E84
645	left Ventral medial nucleus of the thalamus	VM-L	FF7E84
646	left Ventral posterior complex of the thalamus	VP-L	FF8081
647	left Ventral posterolateral nucleus of the thalamus	VPL-L	FD8084
648	left Ventral posterolateral nucleus of the thalamus, parvicellular part	VPLpc-L	FF7F82
649	left Ventral posteromedial nucleus of the thalamus	VPM-L	FF7E83
650	left Ventral posteromedial nucleus of the thalamus, parvicellular part	VPMpc-L	FE8082
651	left Posterior triangular thalamic nucleus	PoT-L	FF7E82
652	left Subparafascicular nucleus	SPF-L	FF8083
653	left Subparafascicular nucleus, magnocellular part	SPFm-L	FF7F84
654	left Subparafascicular nucleus, parvicellular part	SPFp-L	FE8084
655	left Subparafascicular area	SPA-L	FE7F83
656	left Peripeduncular nucleus	PP-L	FD7F84
657	left Geniculate group, dorsal thalamus	GENd-L	FD8083
658	left Medial geniculate complex	MG-L	FF7F83
659	left Medial geniculate complex, dorsal part	MGd-L	FE7F82
660	left Medial geniculate complex, ventral part	MGv-L	FE7E83
661	left Medial geniculate complex, medial part	MGm-L	FD7F83
662	left Dorsal part of the lateral geniculate complex	LGd-L	FF8084
663	left Dorsal part of the lateral geniculate complex, shell	LGd-sh-L	FE8083
664	left Dorsal part of the lateral geniculate complex, core	LGd-co-L	FE7F84
665	left Dorsal part of the lateral geniculate complex, ipsilateral zone	LGd-ip-L	FD8082
666	left Thalamus, polymodal association cortex related	DORpm-L	FE909C
667	left Lateral group of the dorsal thalamus	LAT-L	FE8F9F
668	left Lateral posterior nucleus of the thalamus	LP-L	FE909D
669	left Posterior complex of the thalamus	PO-L	FF8E9C
670	left Posterior limiting nucleus of the thalamus	POL-L	FF8D9D
671	left Suprageniculate nucleus	SGN-L	FF8E9D
672	left Ethmoid nucleus of the thalamus	Eth-L	FD8F9C
673	left Retroethmoid nucleus	REth-L	FD8D9E
674	left Anterior group of the dorsal thalamus	ATN-L	FE8E9F
675	left Anteroventral nucleus of thalamus	AV-L	FD909E
676	left Anteromedial nucleus	AM-L	FE909E
677	left Anteromedial nucleus, dorsal part	AMd-L	FD8D9F
678	left Anteromedial nucleus, ventral part	AMv-L	FC909D
679	left Anterodorsal nucleus	AD-L	FF8F9E
680	left Interanteromedial nucleus of the thalamus	IAM-L	FE8E9C
681	left Interanterodorsal nucleus of the thalamus	IAD-L	FC8E9F
682	left Lateral dorsal nucleus of thalamus	LD-L	FF909D
683	left Medial group of the dorsal thalamus	MED-L	FF909C
684	left Intermediodorsal nucleus of the thalamus	IMD-L	FE909F
685	left Mediodorsal nucleus of thalamus	MD-L	FD909D
686	left Mediodorsal nucleus of the thalamus, central part	MDc-L	FC909F
687	left Mediodorsal nucleus of the thalamus, lateral part	MDl-L	FF8F9C
688	left Mediodorsal nucleus of the thalamus, medial part	MDm-L	FF8D9E
689	left Submedial nucleus of the thalamus	SMT-L	FD8E9F
690	left Perireunensis nucleus	PR-L	FD909C
691	left Midline group of the dorsal thalamus	MTN-L	FE8E9D
692	left Paraventricular nucleus of the thalamus	PVT-L	FE8F9E
693	left Parataenial nucleus	PT-L	FF909F
694	left Nucleus of reuniens	RE-L	FD909F
695	left Xiphoid thalamic nucleus	Xi-L	FC8F9F
696	left Intralaminar nuclei of the dorsal thalamus	ILM-L	FF8F9F
697	left Rhomboid nucleus	RH-L	FF8E9E
698	left Central medial nucleus of the thalamus	CM-L	FD8E9E
699	left Paracentral nucleus	PCN-L	FE8D9F
700	left Central lateral nucleus of the thalamus	CL-L	FD8F9D
701	left Parafascicular nucleus	PF-L	FC909E
702	left Posterior intralaminar thalamic nucleus	PIL-L	FE8D9E
703	left Reticular nucleus of the thalamus	RT-L	FD8F9F
704	left Geniculate group, ventral thalamus	GENv-L	FD8E9D
705	left Intergeniculate leaflet of the lateral geniculate complex	IGL-L	FF909E
706	left Intermediate geniculate nucleus	IntG-L	FE8D9D
707	left Ventral part of the lateral geniculate complex	LGv-L	FF8E9F
708	left Ventral part of the lateral geniculate complex, lateral zone	LGvl-L	FE8F9D
709	left Ventral part of the lateral geniculate complex, medial zone	LGvm-L	FE8E9E
710	left Subgeniculate nucleus	SubG-L	FD8F9E
711	left Epithalamus	EPI-L	FC8F9E
712	left Medial habenula	MH-L	FF8D9F
713	left Lateral habenula	LH-L	FF8F9D
714	left Pineal body	PIN-L	FE8F9C
715	left Hypothalamus	HY-L	E64438
716	left Periventricular zone	PVZ-L	FF5C4E
717	left Supraoptic nucleus	SO-L	FE5B50
718	left Accessory supraoptic group	ASO-L	FE5D4E
719	left Nucleus circularis	NC-L	FD5D4F
720	left Paraventricular hypothalamic nucleus	PVH-L	FF5D4F
721	left Paraventricular hypothalamic nucleus, magnocellular division	PVHm-L	FF5C4F
722	left Paraventricular hypothalamic nucleus, magnocellular division, anterior magnocellular part	PVHam-L	FF5C50
723	left Paraventricular hypothalamic nucleus, magnocellular division, medial magnocellular part	PVHmm-L	FE5D4F
724	left Paraventricular hypothalamic nucleus, magnocellular division, posterior magnocellular part	PVHpm-L	FF5D4E
725	left Paraventricular hypothalamic nucleus, magnocellular division, posterior magnocellular part, lateral zone	PVHpml-L	FD5C50
726	left Paraventricular hypothalamic nucleus, magnocellular division, posterior magnocellular part, medial zone	PVHpmm-L	FE5C4E
727	left Paraventricular hypothalamic nucleus, parvicellular division	PVHp-L	FE5C4F
728	left Paraventricular hypothalamic nucleus, parvicellular division, anterior parvicellular part	PVHap-L	FE5D50
729	left Paraventricular hypothalamic nucleus, parvicellular division, medial parvicellular part, dorsal zone	PVHmpd-L	FE5C50
730	left Paraventricular hypothalamic nucleus, parvicellular division, periventricular part	PVHpv-L	FF5B50
731	left Periventricular hypothalamic nucleus, anterior part	PVa-L	FF5D50
732	left Periventricular hypothalamic nucleus, intermediate part	PVi-L	FD5D50
733	left Arcuate hypothalamic nucleus	ARH-L	FF5B4F
734	left Periventricular region	PVR-L	FF5446
735	left Anterodorsal preoptic nucleus	ADP-L	FF5547
736	left Anterior hypothalamic area	AHA-L	FF5546
737	left Anteroventral preoptic nucleus	AVP-L	FE5447
738	left Anteroventral periventricular nucleus	AVPV-L	FE5446
739	left Dorsomedial nucleus of the hypothalamus	DMH-L	FE5445
740	left Dorsomedial nucleus of the hypothalamus, anterior part	DMHa-L	FE5545
741	left Dorsomedial nucleus of the hypothalamus, posterior part	DMHp-L	FE5347
742	left Dorsomedial nucleus of the hypothalamus, ventral part	DMHv-L	FD5546
743	left Median preoptic nucleus	MEPO-L	FF5445
744	left Medial preoptic area	MPO-L	FF5346
745	left Vascular organ of the lamina terminalis	OV-L	FD5447
746	left Posterodorsal preoptic nucleus	PD-L	FE5346
747	left Parastrial nucleus	PS-L	FD5446
748	left Suprachiasmatic preoptic nucleus	PSCH-L	FF5345
749	left Periventricular hypothalamic nucleus, posterior part	PVp-L	FF5447
750	left Periventricular hypothalamic nucleus, preoptic part	PVpo-L	FE5547
751	left Subparaventricular zone	SBPV-L	FD5547
752	left Suprachiasmatic nucleus	SCH-L	FF5545
753	left Subfornical organ	SFO-L	FF5347
754	left Ventromedial preoptic nucleus	VMPO-L	FD5545
755	left Ventrolateral preoptic nucleus	VLPO-L	FE5546
756	left Hypothalamic medial zone	MEZ-L	FF4C3C
757	left Anterior hypothalamic nucleus	AHN-L	FF4B3E
758	left Anterior hypothalamic nucleus, anterior part	AHNa-L	FE4C3C
759	left Anterior hypothalamic nucleus, central part	AHNc-L	FE4C3E
760	left Anterior hypothalamic nucleus, dorsal part	AHNd-L	FE4A3E
761	left Anterior hypothalamic nucleus, posterior part	AHNp-L	FD4C3D
762	left Mammillary body	MBO-L	FE4C3D
763	left Lateral mammillary nucleus	LM-L	FF4B3D
764	left Medial mammillary nucleus	MM-L	FF4A3E
765	left Medial mammillary nucleus, median part	Mmme-L	FD4B3E
766	left Medial mammillary nucleus, lateral part	Mml-L	FC4B3E
767	left Medial mammillary nucleus, medial part	Mmm-L	FE4A3C
768	left Medial mammillary nucleus, posterior part	Mmp-L	FE493D
769	left Medial mammillary nucleus, dorsal part	Mmd-L	FD4A3D
770	left Supramammillary nucleus	SUM-L	FF493D
771	left Supramammillary nucleus, lateral part	SUMl-L	FE4C3B
772	left Supramammillary nucleus, medial part	SUMm-L	FE493E
773	left Tuberomammillary nucleus	TM-L	FF4B3C
774	left Tuberomammillary nucleus, dorsal part	TMd-L	FC4C3D
775	left Tuberomammillary nucleus, ventral part	TMv-L	FF4C3E
776	left Medial preoptic nucleus	MPN-L	FD4C3E
777	left Medial preoptic nucleus, central part	MPNc-L	FE4A3D
778	left Medial preoptic nucleus, lateral part	MPNl-L	FD4B3D
779	left Medial preoptic nucleus, medial part	MPNm-L	FF4A3C
780	left Dorsal premammillary nucleus	PMd-L	FC4C3E
781	left Ventral premammillary nucleus	PMv-L	FF4B3B
782	left Paraventricular hypothalamic nucleus, descending division	PVHd-L	FF4C3D
783	left Paraventricular hypothalamic nucleus, descending division, dorsal parvicellular part	PVHdp-L	FE4B3E
784	left Paraventricular hypothalamic nucleus, descending division, forniceal part	PVHf-L	FE4B3D
785	left Paraventricular hypothalamic nucleus, descending division, lateral parvicellular part	PVHlp-L	FE4B3B
786	left Paraventricular hypothalamic nucleus, descending division, medial parvicellular part, ventral zone	PVHmpv-L	FE4B3C
787	left Ventromedial hypothalamic nucleus	VMH-L	FF4A3D
788	left Ventromedial hypothalamic nucleus, anterior part	VMHa-L	FD4C3C
789	left Ventromedial hypothalamic nucleus, central part	VMHc-L	FD4A3E
790	left Ventromedial hypothalamic nucleus, dorsomedial part	VMHdm-L	FF4C3B
791	left Ventromedial hypothalamic nucleus, ventrolateral part	VMHvl-L	FF493E
792	left Posterior hypothalamic nucleus	PH-L	FD4B3C
793	left Hypothalamic lateral zone	LZ-L	F1483B
794	left Lateral hypothalamic area	LHA-L	F2483A
795	left Lateral preoptic area	LPO-L	F2473B
796	left Preparasubthalamic nucleus	PST-L	F2473A
797	left Parasubthalamic nucleus	PSTN-L	F1483A
798	left Perifornical nucleus	PeF-L	F2463A
799	left Retrochiasmatic area	RCH-L	F2483B
800	left Subthalamic nucleus	STN-L	F1473B
801	left Tuberal nucleus	TU-L	F24839
802	left Zona incerta	ZI-L	F0483B
803	left Dopaminergic A13 group	A13-L	F2463B
804	left Fields of Forel	FF-L	F24739
805	left Median eminence	ME-L	F1473A
806	left Midbrain	MB-L	FF64FF
807	left Midbrain, sensory related	MBsen-L	FE7AFF
808	left Superior colliculus, sensory related	SCs-L	FF79FF
809	left Superior colliculus, optic layer	SCop-L	FD7AFF
810	left Superior colliculus, superficial gray layer	SCsg-L	FF78FF
811	left Superior colliculus, zonal layer	SCzo-L	FF7AFD
812	left Inferior colliculus	IC-L	FF7AFF
813	left Inferior colliculus, central nucleus	ICc-L	FE7AFE
814	left Inferior colliculus, dorsal nucleus	ICd-L	FE79FF
815	left Inferior colliculus, external nucleus	ICe-L	FE79FE
816	left Nucleus of the brachium of the inferior colliculus	NB-L	FE7AFD
817	left Nucleus sagulum	SAG-L	FF7AFE
818	left Parabigeminal nucleus	PBG-L	FF79FD
819	left Midbrain trigeminal nucleus	MEV-L	FF79FE
820	left Subcommissural organ	SCO-L	FF78FE
821	left Midbrain, motor related	MBmot-L	FE8EFE
822	left Substantia nigra, reticular part	SNr-L	FF8DFD
823	left Ventral tegmental area	VTA-L	FE8DFF
824	left Paranigral nucleus	PN-L	FF8EFE
825	left Midbrain reticular nucleus, retrorubral area	RR-L	FD8FFF
826	left Midbrain reticular nucleus	MRN-L	FF8FFD
827	left Midbrain reticular nucleus, magnocellular part	MRNm-L	FF8EFC
828	left Midbrain reticular nucleus, magnocellular part, general	MRNmg-L	FF8DFF
829	left Midbrain reticular nucleus, parvicellular part	MRNp-L	FE8EFD
830	left Superior colliculus, motor related	SCm-L	FE8FFD
831	left Superior colliculus, motor related, deep gray layer	SCdg-L	FF8FFF
832	left Superior colliculus, motor related, deep white layer	SCdw-L	FF8FFE
833	left Superior colliculus, motor related, intermediate white layer	SCiw-L	FF90FE
834	left Superior colliculus, motor related, intermediate gray layer	SCig-L	FF90FF
835	left Superior colliculus, motor related, intermediate gray layer, sublayer a	SCig-a-L	FF8EFD
836	left Superior colliculus, motor related, intermediate gray layer, sublayer b	SCig-b-L	FD90FD
837	left Superior colliculus, motor related, intermediate gray layer, sublayer c	SCig-c-L	FD8EFF
838	left Periaqueductal gray	PAG-L	FC8FFF
839	left Precommissural nucleus	PRC-L	FE90FE
840	left Interstitial nucleus of Cajal	INC-L	FF90FD
841	left Nucleus of Darkschewitsch	ND-L	FD8FFD
842	left Supraoculomotor periaqueductal gray	Su3-L	FD90FC
843	left Pretectal region	PRT-L	FD8EFD
844	left Anterior pretectal nucleus	APN-L	FE8EFF
845	left Medial pretectal area	MPT-L	FF90FC
846	left Nucleus of the optic tract	NOT-L	FF8FFC
847	left Nucleus of the posterior commissure	NPC-L	FF8DFE
848	left Olivary pretectal nucleus	OP-L	FE90FC
849	left Posterior pretectal nucleus	PPT-L	FC8FFE
850	left Retroparafascicular nucleus	RPF-L	FD8DFF
851	left Intercollicular nucleus	InCo-L	FC90FD
852	left Cuneiform nucleus	CUN-L	FC90FF
853	left Red nucleus	RN-L	FE90FD
854	left Oculomotor nucleus	III-L	FE90FF
855	left Medial accesory oculomotor nucleus	MA3-L	FC8EFF
856	left Edinger-Westphal nucleus	EW-L	FE8FFC
857	left Trochlear nucleus	IV-L	FD90FF
858	left Paratrochlear nucleus	Pa4-L	FE8DFE
859	left Ventral tegmental nucleus	VTN-L	FC90FE
860	left Anterior tegmental nucleus	AT-L	FD90FE
861	left Lateral terminal nucleus of the accessory optic tract	LT-L	FE8FFE
862	left Dorsal terminal nucleus of the accessory optic tract	DT-L	FF8EFF
863	left Medial terminal nucleus of the accessory optic tract	MT-L	FE8FFF
864	left Substantia nigra, lateral part	SNl-L	FD8EFE
865	left Midbrain, behavioral state related	MBsta-L	FD8FFE
866	left Substantia nigra, compact part	SNc-L	FFA6FD
867	left Pedunculopontine nucleus	PPN-L	FFA5FD
868	left Midbrain raphe nuclei	RAmb-L	FFA5FF
869	left Interfascicular nucleus raphe	IF-L	FFA6FF
870	left Interpeduncular nucleus	IPN-L	FFA6FE
871	left Interpeduncular nucleus, rostral	IPR-L	FFA4FE
872	left Interpeduncular nucleus, caudal	IPC-L	FFA5FE
873	left Interpeduncular nucleus, apical	IPA-L	FEA6FE
874	left Interpeduncular nucleus, lateral	IPL-L	FEA5FF
875	left Interpeduncular nucleus, intermediate	IPI-L	FEA6FD
876	left Interpeduncular nucleus, dorsomedial	IPDM-L	FEA4FF
877	left Interpeduncular nucleus, dorsolateral	IPDL-L	FDA6FE
878	left Interpeduncular nucleus, rostrolateral	IPRL-L	FEA5FE
879	left Rostral linear nucleus raphe	RL-L	FEA6FF
880	left Central linear nucleus raphe	CLI-L	FFA4FF
